UrunAdi;CozunurlukBilgisi;Fiyat;EkranBoyutu;YenilemeHizi;EkranTeknolojisi;TeknikPuan;Sablon
"Samsung Odyssey Ark 55"" LS55BG970NUXUF (S55BG97)";"3840x2160 piksel / 4K UHD";"";"54.6 İnç";"165 Hz";"VA";"90";"Samsung Odyssey Ark 55"" LS55BG970NUXUF (S55BG97) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 54.6 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 90'dir."
"LG UltraGear 27GX790A-B";"2560x1440 piksel / WQHD";"";"26.5 İnç";"480 Hz";"OLED";"90";"LG UltraGear 27GX790A-B (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 480 Hz, ekran teknolojisi OLED ve teknik puanı 90'dir."
"Samsung Odyssey OLED G8 32"" LS32DG802SUXUF (S32DG802)";"3840x2160 piksel / 4K UHD";"";"31.6 İnç";"240 Hz";"OLED";"89";"Samsung Odyssey OLED G8 32"" LS32DG802SUXUF (S32DG802) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.6 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Asus ROG Strix OLED XG34WCDG";"3440x1440 piksel / UWQHD";"";"34 İnç";"175 Hz";"OLED";"89";"Asus ROG Strix OLED XG34WCDG (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 175 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Philips Evnia 34M2C8600/00";"3440x1440 piksel / UWQHD";"";"34 İnç";"175 Hz";"OLED";"89";"Philips Evnia 34M2C8600/00 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 175 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Samsung Odyssey OLED G9 49"" LS49DG912SUXUF (S49DG912S)";"5120x1440 piksel / UW-DQHD";"";"48.9 İnç";"144 Hz";"OLED";"89";"Samsung Odyssey OLED G9 49"" LS49DG912SUXUF (S49DG912S) (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.9 İnç, yenileme hızı 144 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Asus ROG Swift OLED PG27AQDP";"2560x1440 piksel / WQHD";"";"26.5 İnç";"480 Hz";"OLED";"89";"Asus ROG Swift OLED PG27AQDP (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 480 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Gigabyte AORUS FO27Q3";"2560x1440 piksel / WQHD";"";"27 İnç";"360 Hz";"OLED";"89";"Gigabyte AORUS FO27Q3 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Asus ROG Strix 5K XG27JCG";"5120x2880 piksel / 5K WUHD";"";"27 İnç";"180 Hz";"IPS";"89";"Asus ROG Strix 5K XG27JCG (5120x2880 piksel / 5K WUHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 180 Hz, ekran teknolojisi IPS ve teknik puanı 89'dir."
"Dell Alienware 34 AW3425DW";"3440x1440 piksel / UWQHD";"";"34 İnç";"240 Hz";"OLED";"89";"Dell Alienware 34 AW3425DW (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 89'dir."
"Gigabyte MO27Q28G";"2560x1440 piksel / WQHD";"";"27 İnç";"280 Hz";"OLED";"88";"Gigabyte MO27Q28G (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"LG UltraGear 39GS95QE-B";"3440x1440 piksel / UWQHD";"";"39 İnç";"240 Hz";"OLED";"88";"LG UltraGear 39GS95QE-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 39 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Asus ROG Strix XG49WCR";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"165 Hz";"VA";"88";"Asus ROG Strix XG49WCR (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 88'dir."
"Dell UltraSharp 52 U5226KW";"6144x2560 piksel / 6K";"";"51.5 İnç";"120 Hz";"IPS";"88";"Dell UltraSharp 52 U5226KW (6144x2560 piksel / 6K) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 51.5 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 88'dir."
"LG UltraGear 32GX850A-B";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"88";"LG UltraGear 32GX850A-B (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Samsung Odyssey OLED G6 27"" LS27FG602SUXUF (S27FG602)";"2560x1440 piksel / WQHD";"";"27 İnç";"500 Hz";"OLED";"88";"Samsung Odyssey OLED G6 27"" LS27FG602SUXUF (S27FG602) (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Asus ROG Strix OLED XG32UCDS";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"88";"Asus ROG Strix OLED XG32UCDS (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"MSI MPG 274URDFW E16M";"3840x2160 piksel / 4K UHD";"";"27 İnç";"160 Hz";"IPS";"88";"MSI MPG 274URDFW E16M (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 160 Hz, ekran teknolojisi IPS ve teknik puanı 88'dir."
"BenQ PD3226G";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"144 Hz";"IPS";"88";"BenQ PD3226G (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 88'dir."
"Gigabyte MO34WQC2";"3440x1440 piksel / UWQHD";"";"34 İnç";"240 Hz";"OLED";"88";"Gigabyte MO34WQC2 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"MSI MPG 271QRX QD-OLED";"2560x1440 piksel / WQHD";"";"26.5 İnç";"360 Hz";"OLED";"88";"MSI MPG 271QRX QD-OLED (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Gigabyte MO27Q3";"2560x1440 piksel / WQHD";"";"27 İnç";"360 Hz";"OLED";"88";"Gigabyte MO27Q3 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"MSI MAG 272UP QD-OLED X24";"3840x2160 piksel / 4K UHD";"";"26.5 İnç";"240 Hz";"OLED";"88";"MSI MAG 272UP QD-OLED X24 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Asus ROG Strix OLED XG27AQWMG";"2560x1440 piksel / WQHD";"";"26.5 İnç";"280 Hz";"OLED";"88";"Asus ROG Strix OLED XG27AQWMG (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"MSI MAG 321UPX QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"88";"MSI MAG 321UPX QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Asus ROG Strix OLED XG27AQDNG";"2560x1440 piksel / WQHD";"";"26.5 İnç";"360 Hz";"OLED";"88";"Asus ROG Strix OLED XG27AQDNG (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 88'dir."
"Asus ROG Swift OLED PG48UQ";"3840x2160 piksel / 4K UHD";"";"47.53 İnç";"138 Hz";"OLED";"87";"Asus ROG Swift OLED PG48UQ (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 47.53 İnç, yenileme hızı 138 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"Dell S3225QC";"3840x2160 piksel / 4K UHD";"";"31.6 İnç";"120 Hz";"OLED";"87";"Dell S3225QC (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.6 İnç, yenileme hızı 120 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"Philips 49B2U5900CH/00";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"75 Hz";"VA";"87";"Philips 49B2U5900CH/00 (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 87'dir."
"Philips 559M1RYV/00";"3840x2160 piksel / 4K UHD";"";"55 İnç";"144 Hz";"VA";"87";"Philips 559M1RYV/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 55 İnç, yenileme hızı 144 Hz, ekran teknolojisi VA ve teknik puanı 87'dir."
"Samsung Odyssey OLED G8 32"" LS32FG812SUXUF (S32FG812)";"3840x2160 piksel / 4K UHD";"";"31.6 İnç";"240 Hz";"OLED";"87";"Samsung Odyssey OLED G8 32"" LS32FG812SUXUF (S32FG812) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.6 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"MSI MEG 342C QD-OLED";"3440x1440 piksel / UWQHD";"";"34.18 İnç";"175 Hz";"OLED";"87";"MSI MEG 342C QD-OLED (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34.18 İnç, yenileme hızı 175 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"LG UltraGear 45GR95QE-B";"3440x1440 piksel / UWQHD";"";"44.5 İnç";"240 Hz";"OLED";"87";"LG UltraGear 45GR95QE-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"AOC Agon Pro AG276QKD2";"2560x1440 piksel / WQHD";"";"26.5 İnç";"500 Hz";"OLED";"87";"AOC Agon Pro AG276QKD2 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 500 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"Philips 40B1U6903CH/00";"5120x2160 piksel / UWUHD";"";"39.7 İnç";"75 Hz";"IPS";"87";"Philips 40B1U6903CH/00 (5120x2160 piksel / UWUHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 39.7 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 87'dir."
"LG UltraGear 45GR75DC-B";"5120x1440 piksel / UW-DQHD";"";"44.5 İnç";"200 Hz";"VA";"87";"LG UltraGear 45GR75DC-B (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 200 Hz, ekran teknolojisi VA ve teknik puanı 87'dir."
"MSI MAG 341CQP QD-OLED";"3440x1440 piksel / UWQHD";"";"34 İnç";"175 Hz";"OLED";"87";"MSI MAG 341CQP QD-OLED (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 175 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"Asus ProArt PA32QCV";"6016x3384 piksel / 6K";"";"31.5 İnç";"60 Hz";"IPS";"87";"Asus ProArt PA32QCV (6016x3384 piksel / 6K) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 87'dir."
"LG UltraGear 34GS95QE-B";"3440x1440 piksel / UWQHD";"";"33.9 İnç";"240 Hz";"OLED";"87";"LG UltraGear 34GS95QE-B (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 33.9 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 87'dir."
"Lenovo Legion Y34wz-30";"3440x1440 piksel / UWQHD";"";"34 İnç";"180 Hz";"VA";"87";"Lenovo Legion Y34wz-30 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 180 Hz, ekran teknolojisi VA ve teknik puanı 87'dir."
"MSI MAG 321UP QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"86";"MSI MAG 321UP QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Gigabyte MO34WQC";"3440x1440 piksel / UWQHD";"";"34 İnç";"175 Hz";"OLED";"86";"Gigabyte MO34WQC (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 175 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Gigabyte MO27Q2A";"2560x1440 piksel / WQHD";"";"27 İnç";"280 Hz";"OLED";"86";"Gigabyte MO27Q2A (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"AOC Agon Pro AG326UD";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"86";"AOC Agon Pro AG326UD (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"LG UltraGear 32G810SA-W";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"144 Hz";"IPS";"86";"LG UltraGear 32G810SA-W (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 86'dir."
"MSI MAG 321CUP QD-OLED";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"86";"MSI MAG 321CUP QD-OLED (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"LG UltraGear 27GX700A-B";"2560x1440 piksel / WQHD";"";"26.5 İnç";"280 Hz";"OLED";"86";"LG UltraGear 27GX700A-B (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"MSI MAG 322UP QD-OLED E16";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"165 Hz";"OLED";"86";"MSI MAG 322UP QD-OLED E16 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"MSI MAG 271QPX QD-OLED";"2560x1440 piksel / WQHD";"";"26.5 İnç";"360 Hz";"OLED";"86";"MSI MAG 271QPX QD-OLED (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Gigabyte AORUS FO48U";"3840x2160 piksel / 4K UHD";"";"47.53 İnç";"120 Hz";"OLED";"86";"Gigabyte AORUS FO48U (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 47.53 İnç, yenileme hızı 120 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Gigabyte MO27Q2";"2560x1440 piksel / WQHD";"";"27 İnç";"240 Hz";"OLED";"86";"Gigabyte MO27Q2 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Dell Alienware AW2725D";"2560x1440 piksel / WQHD";"";"26.7 İnç";"280 Hz";"OLED";"86";"Dell Alienware AW2725D (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.7 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Samsung Odyssey OLED G8 27"" LS27FG812SUXUF (S27FG812)";"3840x2160 piksel / 4K UHD";"";"26.6 İnç";"240 Hz";"OLED";"86";"Samsung Odyssey OLED G8 27"" LS27FG812SUXUF (S27FG812) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.6 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 86'dir."
"Asus ROG Swift PG32UQXR";"3840x2160 piksel / 4K UHD";"";"32 İnç";"160 Hz";"IPS";"86";"Asus ROG Swift PG32UQXR (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 160 Hz, ekran teknolojisi IPS ve teknik puanı 86'dir."
"Dell UltraSharp UP3221Q";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"IPS";"86";"Dell UltraSharp UP3221Q (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 86'dir."
"Corsair Xeneon Flex 45WQHD240";"3440x1440 piksel / UWQHD";"";"44.75 İnç";"240 Hz";"OLED";"85";"Corsair Xeneon Flex 45WQHD240 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.75 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"Philips Evnia 27M2N5901A/00";"3840x2160 piksel / 4K UHD";"";"27 İnç";"160 Hz";"IPS";"85";"Philips Evnia 27M2N5901A/00 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 160 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"Asus ROG Swift OLED PG42UQ";"3840x2160 piksel / 4K UHD";"";"41.5 İnç";"138 Hz";"OLED";"85";"Asus ROG Swift OLED PG42UQ (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 41.5 İnç, yenileme hızı 138 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"Asus ProArt PA32UCX-PK";"3840x2160 piksel / 4K UHD";"";"32 İnç";"60 Hz";"IPS";"85";"Asus ProArt PA32UCX-PK (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 32 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"Gigabyte AORUS FO27Q2";"2560x1440 piksel / WQHD";"";"27 İnç";"240 Hz";"OLED";"85";"Gigabyte AORUS FO27Q2 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"Samsung Odyssey G9 49"" LC49G95TSSRXUF";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"240 Hz";"VA";"85";"Samsung Odyssey G9 49"" LC49G95TSSRXUF (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"LG UltraWide 38WR85QC-W";"3840x1600 piksel / UWQHD+";"";"37.5 İnç";"144 Hz";"IPS";"85";"LG UltraWide 38WR85QC-W (3840x1600 piksel / UWQHD+) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 37.5 İnç, yenileme hızı 144 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"Samsung Odyssey G9 49"" LC49G95TSSMXUF";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"240 Hz";"VA";"85";"Samsung Odyssey G9 49"" LC49G95TSSMXUF (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"Philips Evnia 34M2C7600MV/00";"3440x1440 piksel / UWQHD";"";"34 İnç";"165 Hz";"VA";"85";"Philips Evnia 34M2C7600MV/00 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"Dell Alienware AW2725DF";"2560x1440 piksel / WQHD";"";"26.7 İnç";"360 Hz";"OLED";"85";"Dell Alienware AW2725DF (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.7 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"AOC Agon AG493UCX2";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"165 Hz";"VA";"85";"AOC Agon AG493UCX2 (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 165 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"Asus ROG Strix OLED XG27ACDMS";"2560x1440 piksel / WQHD";"";"26.5 İnç";"280 Hz";"OLED";"85";"Asus ROG Strix OLED XG27ACDMS (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"Lenovo ThinkVision P32pz-30";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"IPS";"85";"Lenovo ThinkVision P32pz-30 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"Lenovo ThinkVision P32pz-30";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"60 Hz";"IPS";"85";"Lenovo ThinkVision P32pz-30 (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"ViewSonic VP2776";"2560x1440 piksel / WQHD";"";"27 İnç";"165 Hz";"IPS";"85";"ViewSonic VP2776 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 165 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"Acer Predator CG48bmiiiipuzx";"3840x2160 piksel / 4K UHD";"";"48 İnç";"138 Hz";"OLED";"85";"Acer Predator CG48bmiiiipuzx (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48 İnç, yenileme hızı 138 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"Philips Evnia 27M2N8500/00";"2560x1440 piksel / WQHD";"";"26.5 İnç";"360 Hz";"OLED";"85";"Philips Evnia 27M2N8500/00 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"MSI MAG 272QPW QD-OLED X28";"2560x1440 piksel / WQHD";"";"26.5 İnç";"280 Hz";"OLED";"85";"MSI MAG 272QPW QD-OLED X28 (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 280 Hz, ekran teknolojisi OLED ve teknik puanı 85'dir."
"ViewSonic Elite XG341C-2K";"3440x1440 piksel / UWQHD";"";"34 İnç";"200 Hz";"VA";"85";"ViewSonic Elite XG341C-2K (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 200 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"LG UltraGear 49GR85DC-B";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"VA";"85";"LG UltraGear 49GR85DC-B (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi VA ve teknik puanı 85'dir."
"Dell UltraSharp U4025QW";"5120x2160 piksel / 5K UWUHD";"";"39.7 İnç";"120 Hz";"IPS";"85";"Dell UltraSharp U4025QW (5120x2160 piksel / 5K UWUHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 39.7 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 85'dir."
"AOC Agon AG493UCX";"5120x1440 piksel / UW-DQHD";"";"48.8 İnç";"120 Hz";"VA";"84";"AOC Agon AG493UCX (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.8 İnç, yenileme hızı 120 Hz, ekran teknolojisi VA ve teknik puanı 84'dir."
"Asus ROG Strix OLED XG27AQDMG Gen2 (XG27AQDMGR)";"2560x1440 piksel / WQHD";"";"26.5 İnç";"240 Hz";"OLED";"84";"Asus ROG Strix OLED XG27AQDMG Gen2 (XG27AQDMGR) (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 84'dir."
"LG UltraGear 27GX704A-B";"2560x1440 piksel / WQHD";"";"26.5 İnç";"240 Hz";"OLED";"84";"LG UltraGear 27GX704A-B (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 84'dir."
